,CitingAffiliatoinId,CitedAffiliatoinId,type_1,year_citing,year_cited,type_2,type_3,type_4
229,24603500,135310074,21,1990,1990,1,21.0,21.0
230,24603500,166722992,54,1990,1990,3,6.499999999999998,53.5
231,24603500,177328695,2,1990,1990,1,1.0,2.0
232,25041050,25041050,192,1990,1990,16,48.749999999999964,186.5
233,26347476,26347476,31,1990,1990,6,12.5,30.5
234,26347476,33213144,4,1990,1990,1,2.0,4.0
235,26538001,26538001,23,1990,1990,9,11.833333333333332,21.833333333333332
236,26538001,78577930,1,1990,1990,1,1.0,1.0
237,26538001,138006243,2,1990,1990,2,0.8333333333333333,0.8333333333333333
238,26538001,201448701,7,1990,1990,3,3.0,3.0
239,27804330,1174212,5,1990,1990,2,1.6666666666666665,2.0
240,27804330,27804330,170,1990,1990,38,75.25,167.5
241,27804330,78577930,1,1990,1990,1,1.0,1.0
242,27804330,79576946,1,1990,1990,1,1.0,1.0
243,27804330,81342731,2,1990,1990,1,2.0,2.0
244,27804330,95457486,3,1990,1990,1,1.0,3.0
245,27804330,121820613,2,1990,1990,1,2.0,2.0
246,27804330,136199984,6,1990,1990,1,1.9999999999999998,6.0
247,27804330,149251103,10,1990,1990,2,10.0,10.0
248,27804330,1281704429,1,1990,1990,1,1.0,1.0
249,27804330,1299303238,1,1990,1990,1,1.0,1.0
250,27804330,1341412227,9,1990,1990,2,3.5,7.5
251,27837315,592451,1,1990,1990,1,1.0,1.0
252,27837315,12912129,1051,1990,1990,12,9.157486840394878,83.28234265734255
253,27837315,17301866,20,1990,1990,1,0.16129032258064507,1.25
254,27837315,19820366,1,1990,1990,1,1.0,1.0
255,27837315,19990318,1,1990,1990,1,0.5,0.5
256,27837315,20089843,965,1990,1990,16,13.344795143325273,81.70585664335658
257,27837315,27804330,2,1990,1990,2,1.5,1.5
258,27837315,27837315,2294,1990,1990,154,409.72275213257257,1207.6225233100238
259,27837315,32971472,4,1990,1990,3,2.5,2.5
260,27837315,33213144,13,1990,1990,3,5.0,11.0
261,27837315,36258959,762,1990,1990,13,7.375424958906372,61.7757867132867
