AffiliationId,Rank,NormalizedName,DisplayName,GridId,OfficialPage,WikiPage,PaperCount,PaperFamilyCount,CitationCount,Iso3166Code,Latitude,Longitude,CreatedDate
910116274,11295,carlisle companies,Carlisle Companies,null,http://www.carlisle.com/,http://en.wikipedia.org/wiki/Carlisle_Companies,1617,1607,17355,US,35.05948,-80.83863,2016-06-24
1285663327,14108,radiological society of north america,Radiological Society of North America,grid.431405.7,http://www.rsna.org/,http://en.wikipedia.org/wiki/Radiological_Society_of_North_America,94,82,751,US,41.84481,-87.93989,2016-06-24
1286561144,15012,american philosophical society,American Philosophical Society,grid.428194.2,https://amphilsoc.org/,http://en.wikipedia.org/wiki/American_Philosophical_Society,65,65,283,US,39.948753,-75.14984,2016-06-24
1295178317,13341,premier inc,"Premier, Inc.",null,http://www.premierinc.com/,"http://en.wikipedia.org/wiki/Premier,_Inc.",216,215,2395,US,35.05694,-80.84261,2016-06-24
1298154867,9575,kennedy krieger institute,Kennedy Krieger Institute,grid.240023.7,http://www.kennedykrieger.org/,http://en.wikipedia.org/wiki/Kennedy_Krieger_Institute,4123,4090,180656,US,39.29678,-76.59187,2016-06-24
1317630319,14964,fortify software,Fortify Software,null,https://software.microfocus.com/en-us/software/application-security,http://en.wikipedia.org/wiki/Fortify_Software,13,13,903,US,37.56079,-122.28408,2016-06-24
1324022653,12449,certainteed corporation,CertainTeed Corporation,null,http://www.certainteed.com/,http://en.wikipedia.org/wiki/CertainTeed,537,537,7164,US,40.04357,-75.62491,2016-06-24
1324766304,10211,barrow neurological institute,Barrow Neurological Institute,grid.427785.b,https://www.barrowneuro.org/,http://en.wikipedia.org/wiki/Barrow_Neurological_Institute,2986,2965,96594,US,33.480724,-112.07948,2016-06-24
1327735512,14496,gevo inc,"Gevo, Inc",null,http://www.gevo.com/,"http://en.wikipedia.org/wiki/Gevo,_Inc",37,37,1480,US,39.58833,-104.88731,2016-06-24
1341523491,11356,new york methodist hospital,New York Methodist Hospital,grid.415436.1,http://www.nyp.org/brooklyn,http://en.wikipedia.org/wiki/New_York_Methodist_Hospital,1124,1122,23214,US,40.667576,-73.97857,2016-06-24
2799370151,11834,beaumont health,Beaumont Health,grid.461921.9,null,https://en.wikipedia.org/wiki/Beaumont_Health,1471,1464,8275,US,42.514977,-83.192024,2018-05-17
2799386879,16561,darton state college,Darton State College,grid.468753.b,null,https://en.wikipedia.org/wiki/Darton_State_College,15,15,45,US,31.58389,-84.21111,2018-05-17
2799393516,16512,lac du flambeau band of lake superior chippewa indians,Lac du Flambeau Band of Lake Superior Chippewa Indians,grid.436042.7,null,https://en.wikipedia.org/wiki/Lac_du_Flambeau_Band_of_Lake_Superior_Chippewa,6,6,81,US,45.973076,-89.89309,2018-05-17
2799685002,18008,zygon center for religion and science,Zygon Center for Religion and Science,grid.479660.a,null,https://en.wikipedia.org/wiki/Zygon_Center_for_Religion_and_Science,4,4,5,US,41.79588,-87.59829,2018-05-17
2799873524,18749,gilder lehrman institute of american history,Gilder Lehrman Institute of American History,grid.446899.e,null,https://en.wikipedia.org/wiki/Gilder_Lehrman_Institute_of_American_History,2,2,0,US,40.756435,-73.98148,2018-05-17
2800705548,15461,minnesota historical society,Minnesota Historical Society,grid.446989.e,null,https://en.wikipedia.org/wiki/Minnesota_Historical_Society,49,49,84,US,44.94949,-93.10548,2018-05-17
2801048675,12675,fairchild tropical botanic garden,Fairchild Tropical Botanic Garden,grid.421473.7,null,https://en.wikipedia.org/wiki/Fairchild_Tropical_Botanic_Garden,281,280,6761,US,25.67871,-80.2733,2018-05-17
2801576346,18352,amtrak united states,Amtrak (United States),grid.454479.f,null,https://en.wikipedia.org/wiki/Amtrak,1,1,29,US,38.897305,-77.00625,2018-05-17
2801726020,14562,mountain institute,Mountain Institute,grid.487854.2,null,https://en.wikipedia.org/wiki/The_Mountain_Institute,75,75,963,US,38.904022,-77.039276,2018-05-17
2802337113,16287,galveston college,Galveston College,grid.421629.a,null,https://en.wikipedia.org/wiki/Galveston_College,18,17,124,US,29.2846,-94.8085,2018-05-17
2802403647,17831,scleroderma research foundation,Scleroderma Research Foundation,grid.481294.2,null,https://en.wikipedia.org/wiki/Scleroderma_Research_Foundation,4,4,8,US,37.79133,-122.40195,2018-05-17
2802789157,16230,saint vincent health system,Saint Vincent Health System,grid.462780.f,null,https://en.wikipedia.org/wiki/Saint_Vincent_Health_System,15,15,139,US,42.111088,-80.079765,2018-05-17
2802841970,10353,the ohio state university wexner medical center,The Ohio State University Wexner Medical Center,grid.412332.5,null,https://en.wikipedia.org/wiki/Ohio_State_University_Wexner_Medical_Center,5801,5775,44378,US,39.994797,-83.01769,2018-05-17
2803040251,16700,women s prison association,Women's Prison Association,grid.475998.e,null,https://en.wikipedia.org/wiki/Women's_Prison_Association,3,3,208,US,40.727577,-73.98806,2018-05-17
2994310293,18304,society of general physiologists,Society of General Physiologists,grid.422333.7,null,https://en.wikipedia.org/wiki/Society_of_General_Physiologists,3,3,4,US,41.52651,-70.67312,2019-12-13
39660569,9988,colgate university,Colgate University,grid.254361.7,http://www.colgate.edu/,http://en.wikipedia.org/wiki/Colgate_University,4256,4125,94695,US,42.81944,-75.53639,2016-06-24
80804394,14200,southwest baptist university,Southwest Baptist University,grid.263897.1,http://www.sbuniv.edu/,http://en.wikipedia.org/wiki/Southwest_Baptist_University,95,95,1567,US,37.60186,-93.40911,2016-06-24
88225094,14719,marylhurst university,Marylhurst University,grid.435696.b,https://www.marylhurst.edu/,http://en.wikipedia.org/wiki/Marylhurst_University,83,83,556,US,45.39833,-122.64611,2016-06-24
106969075,9832,idaho state university,Idaho State University,grid.257296.d,http://www.isu.edu/,http://en.wikipedia.org/wiki/Idaho_State_University,6508,6431,108942,US,42.86126,-112.43429,2016-06-24
108279646,13158,earthwatch institute,Earthwatch Institute,grid.453691.c,http://www.earthwatch.org/,http://en.wikipedia.org/wiki/Earthwatch_Institute,103,102,2940,US,42.99044,-71.53698,2016-06-24
125584214,15498,quinsigamond community college,Quinsigamond Community College,grid.437622.6,http://www.qcc.edu/,http://en.wikipedia.org/wiki/Quinsigamond_Community_College,28,28,418,US,42.314804,-71.79363,2016-06-24
134113660,8193,university of nevada reno,"University of Nevada, Reno",grid.266818.3,http://www.unr.edu/,"http://en.wikipedia.org/wiki/University_of_Nevada,_Reno",28033,27520,651604,US,39.54583,-119.81667,2016-06-24
142606810,8011,pacific northwest national laboratory,Pacific Northwest National Laboratory,grid.451303.0,http://www.pnnl.gov/,http://en.wikipedia.org/wiki/Pacific_Northwest_National_Laboratory,26176,25610,773747,US,46.343224,-119.27634,2016-06-24
154006206,13002,lebanon valley college,Lebanon Valley College,grid.259009.7,http://www.lvc.edu/,http://en.wikipedia.org/wiki/Lebanon_Valley_College,401,382,3685,US,40.332,-76.514,2016-06-24
159084141,12442,bethel college,Bethel College,grid.423266.7,http://www.bethelks.edu/,http://en.wikipedia.org/wiki/Bethel_College_(Kansas),635,625,6029,US,38.0747,-97.3425,2016-06-24
173388201,12215,university of houston victoria,University of Houston–Victoria,grid.462948.5,http://www.uhv.edu/,http://en.wikipedia.org/wiki/University_of_Houston–Victoria,740,736,11780,US,28.816397,-96.97637,2016-06-24
